peg_x,peg_y,success
0.241030,0.008458,0
0.241030,0.008458,1
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,1
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,1
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.241030,0.008458,0
0.103614,-0.087040,0
0.103614,-0.087040,0
0.103614,-0.087040,0
0.103614,-0.087040,1
0.103614,-0.087040,0
0.103614,-0.087040,0
0.103614,-0.087040,0
0.103614,-0.087040,0
0.103614,-0.087040,1
0.103614,-0.087040,0
0.103614,-0.087040,1
0.103614,-0.087040,0
0.103614,-0.087040,0
0.103614,-0.087040,1
0.103614,-0.087040,0
0.103614,-0.087040,1
0.103614,-0.087040,1
0.103614,-0.087040,1
0.103614,-0.087040,0
0.103614,-0.087040,1
0.103614,-0.087040,1
0.103614,-0.087040,1
0.103614,-0.087040,0
0.103614,-0.087040,0
0.103614,-0.087040,0
0.103614,-0.087040,1
0.103614,-0.087040,0
0.103614,-0.087040,0
0.103614,-0.087040,1
0.103614,-0.087040,0
0.103614,-0.087040,0
0.103614,-0.087040,1
0.103614,-0.087040,0
0.103614,-0.087040,1
0.103614,-0.087040,0
0.103614,-0.087040,0
0.103614,-0.087040,1
0.103614,-0.087040,1
0.103614,-0.087040,1
0.103614,-0.087040,0
0.103614,-0.087040,1
0.103614,-0.087040,1
0.103614,-0.087040,1
0.103614,-0.087040,0
0.103614,-0.087040,0
0.103614,-0.087040,1
0.103614,-0.087040,0
0.103614,-0.087040,1
0.194992,0.063505,1
0.194992,0.063505,1
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,1
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,1
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
0.194992,0.063505,0
