peg_x,peg_y,success,file,demo,radial,depth,upright
0.19499,0.06350,0,gen_skillgen_sart_failed.hdf5,demo_150,0.09305,0.00000,-0.0000
0.19499,0.06350,0,gen_skillgen_sart_failed.hdf5,demo_151,0.01066,0.01623,0.6072
0.19499,0.06350,0,gen_skillgen_sart_failed.hdf5,demo_152,0.09308,0.00000,-0.0000
0.19499,0.06350,0,gen_skillgen_sart_failed.hdf5,demo_153,0.01116,0.01489,0.7139
0.19499,0.06350,0,gen_skillgen_sart_failed.hdf5,demo_154,0.01061,0.01600,0.9999
0.19499,0.06350,0,gen_skillgen_sart_failed.hdf5,demo_155,0.09677,0.00000,-0.0000
0.19499,0.06350,0,gen_skillgen_sart_failed.hdf5,demo_156,0.01072,0.01529,0.7156
0.21849,-0.08632,0,gen_skillgen_sart_failed.hdf5,demo_157,0.01457,0.01451,0.9960
0.21849,-0.08632,0,gen_skillgen_sart_failed.hdf5,demo_158,0.09632,0.00000,0.0000
0.21849,-0.08632,0,gen_skillgen_sart_failed.hdf5,demo_159,0.01114,0.01599,0.9979
0.19684,0.10442,0,gen_skillgen_sart_failed.hdf5,demo_16,0.00060,0.00513,0.9992
0.21849,-0.08632,0,gen_skillgen_sart_failed.hdf5,demo_160,0.09447,0.00000,-0.0000
0.21849,-0.08632,0,gen_skillgen_sart_failed.hdf5,demo_161,0.09417,0.00000,0.0000
0.21849,-0.08632,0,gen_skillgen_sart_failed.hdf5,demo_162,0.01063,0.01537,0.7167
0.21849,-0.08632,0,gen_skillgen_sart_failed.hdf5,demo_163,0.09327,0.00000,-0.0000
0.21849,-0.08632,0,gen_skillgen_sart_failed.hdf5,demo_164,0.01364,0.00008,0.9991
0.21849,-0.08632,0,gen_skillgen_sart_failed.hdf5,demo_165,0.01106,0.01593,0.9985
0.21849,-0.08632,0,gen_skillgen_sart_failed.hdf5,demo_166,0.01037,0.01644,0.6102
0.19662,0.11338,0,gen_skillgen_sart_failed.hdf5,demo_167,0.07491,0.00000,0.0000
0.19662,0.11338,0,gen_skillgen_sart_failed.hdf5,demo_168,0.01417,0.00916,0.7951
0.19662,0.11338,0,gen_skillgen_sart_failed.hdf5,demo_169,0.01833,0.00000,0.2675
0.19684,0.10442,0,gen_skillgen_sart_failed.hdf5,demo_17,0.01154,0.00914,0.8775
0.19662,0.11338,0,gen_skillgen_sart_failed.hdf5,demo_170,0.01083,0.01556,0.9997
0.19662,0.11338,0,gen_skillgen_sart_failed.hdf5,demo_171,0.10342,0.00000,0.9994
0.19662,0.11338,0,gen_skillgen_sart_failed.hdf5,demo_172,0.01144,0.01552,0.6356
0.19662,0.11338,0,gen_skillgen_sart_failed.hdf5,demo_173,0.00491,0.01239,0.9955
0.19662,0.11338,0,gen_skillgen_sart_failed.hdf5,demo_174,0.10342,0.00000,0.9994
0.19662,0.11338,0,gen_skillgen_sart_failed.hdf5,demo_175,0.01393,-0.00004,0.9978
0.19662,0.11338,0,gen_skillgen_sart_failed.hdf5,demo_176,0.10423,0.00000,0.9992
0.19662,0.11338,0,gen_skillgen_sart_failed.hdf5,demo_177,0.01481,0.00761,0.8470
0.19662,0.11338,0,gen_skillgen_sart_failed.hdf5,demo_178,0.01173,0.00023,0.9974
0.19662,0.11338,0,gen_skillgen_sart_failed.hdf5,demo_179,0.00500,0.01205,0.9967
0.19684,0.10442,0,gen_skillgen_sart_failed.hdf5,demo_18,0.00287,0.00664,0.9995
0.19662,0.11338,0,gen_skillgen_sart_failed.hdf5,demo_180,0.01016,0.01081,0.8778
0.19662,0.11338,0,gen_skillgen_sart_failed.hdf5,demo_181,0.00524,0.01173,0.9952
0.24965,-0.05068,0,gen_skillgen_sart_failed.hdf5,demo_182,0.01097,0.01620,1.0000
0.24965,-0.05068,0,gen_skillgen_sart_failed.hdf5,demo_183,0.01106,0.01625,0.9996
0.24965,-0.05068,0,gen_skillgen_sart_failed.hdf5,demo_184,0.01103,0.01629,0.9995
0.24965,-0.05068,0,gen_skillgen_sart_failed.hdf5,demo_185,0.01098,0.01631,0.9995
0.24965,-0.05068,0,gen_skillgen_sart_failed.hdf5,demo_186,0.07119,0.00000,0.7999
0.24965,-0.05068,0,gen_skillgen_sart_failed.hdf5,demo_187,0.07131,0.00000,-0.0000
0.24965,-0.05068,0,gen_skillgen_sart_failed.hdf5,demo_188,0.01038,0.01645,0.6066
0.24965,-0.05068,0,gen_skillgen_sart_failed.hdf5,demo_189,0.08747,0.00000,-0.0000
0.19684,0.10442,0,gen_skillgen_sart_failed.hdf5,demo_19,0.01516,0.00691,0.8697
0.24965,-0.05068,0,gen_skillgen_sart_failed.hdf5,demo_190,0.07492,0.00000,-0.9877
0.24965,-0.05068,0,gen_skillgen_sart_failed.hdf5,demo_191,0.00288,0.01920,0.9912
0.24965,-0.05068,0,gen_skillgen_sart_failed.hdf5,demo_192,0.07485,0.00000,-0.0000
0.24965,-0.05068,0,gen_skillgen_sart_failed.hdf5,demo_193,0.06752,0.00000,0.4698
0.24965,-0.05068,0,gen_skillgen_sart_failed.hdf5,demo_194,0.01062,0.01655,0.9998
0.24965,-0.05068,0,gen_skillgen_sart_failed.hdf5,demo_195,0.08589,0.00000,-0.0000
0.24965,-0.05068,0,gen_skillgen_sart_failed.hdf5,demo_196,0.07511,0.00000,0.9812
0.19203,-0.11996,0,gen_skillgen_sart_failed.hdf5,demo_197,0.01058,0.01571,1.0000
0.19203,-0.11996,0,gen_skillgen_sart_failed.hdf5,demo_198,0.01323,-0.00004,0.9998
0.19203,-0.11996,0,gen_skillgen_sart_failed.hdf5,demo_199,0.01075,0.01652,0.9992
0.22371,-0.08085,0,gen_skillgen_sart_failed.hdf5,demo_2,0.01061,0.01277,1.0000
0.19684,0.10442,0,gen_skillgen_sart_failed.hdf5,demo_20,0.01037,0.01650,0.5956
0.19203,-0.11996,0,gen_skillgen_sart_failed.hdf5,demo_200,0.10840,0.00000,0.2802
0.19203,-0.11996,0,gen_skillgen_sart_failed.hdf5,demo_201,0.01070,0.01417,1.0000
0.19203,-0.11996,0,gen_skillgen_sart_failed.hdf5,demo_202,0.09323,0.00000,0.9999
0.19203,-0.11996,0,gen_skillgen_sart_failed.hdf5,demo_203,0.01103,0.01634,0.9980
0.19203,-0.11996,0,gen_skillgen_sart_failed.hdf5,demo_204,0.01066,0.01585,1.0000
0.19203,-0.11996,0,gen_skillgen_sart_failed.hdf5,demo_205,0.01066,0.01587,0.9999
0.19203,-0.11996,0,gen_skillgen_sart_failed.hdf5,demo_206,0.01058,0.01592,1.0000
0.19203,-0.11996,0,gen_skillgen_sart_failed.hdf5,demo_207,0.01567,0.00937,0.8553
0.19203,-0.11996,0,gen_skillgen_sart_failed.hdf5,demo_208,0.07075,0.00000,0.8540
0.19203,-0.11996,0,gen_skillgen_sart_failed.hdf5,demo_209,0.01152,0.01404,0.7429
0.19684,0.10442,0,gen_skillgen_sart_failed.hdf5,demo_21,0.01235,-0.00004,0.9920
0.19203,-0.11996,0,gen_skillgen_sart_failed.hdf5,demo_210,0.01113,0.01533,0.9989
0.08971,0.01320,0,gen_skillgen_sart_failed.hdf5,demo_211,0.03317,0.00000,1.0000
0.08971,0.01320,0,gen_skillgen_sart_failed.hdf5,demo_212,0.00746,0.00306,0.9367
0.08971,0.01320,0,gen_skillgen_sart_failed.hdf5,demo_213,0.03223,0.00000,1.0000
0.08971,0.01320,0,gen_skillgen_sart_failed.hdf5,demo_214,0.01317,-0.00004,1.0000
0.08971,0.01320,0,gen_skillgen_sart_failed.hdf5,demo_215,0.03315,0.00000,1.0000
0.08971,0.01320,0,gen_skillgen_sart_failed.hdf5,demo_216,0.07410,0.00000,-0.9917
0.08971,0.01320,0,gen_skillgen_sart_failed.hdf5,demo_217,0.01296,0.00674,0.8793
0.08971,0.01320,0,gen_skillgen_sart_failed.hdf5,demo_218,0.00828,0.00003,0.9988
0.08971,0.01320,0,gen_skillgen_sart_failed.hdf5,demo_219,0.02161,0.00000,0.9973
0.19684,0.10442,0,gen_skillgen_sart_failed.hdf5,demo_22,0.03234,0.00000,0.9986
0.08971,0.01320,0,gen_skillgen_sart_failed.hdf5,demo_220,0.00510,0.00223,0.9373
0.08971,0.01320,0,gen_skillgen_sart_failed.hdf5,demo_221,0.01084,0.01566,0.6713
0.08971,0.01320,0,gen_skillgen_sart_failed.hdf5,demo_222,0.00676,0.00286,0.9375
0.08971,0.01320,0,gen_skillgen_sart_failed.hdf5,demo_223,0.02995,0.00000,0.9969
0.24258,0.10369,0,gen_skillgen_sart_failed.hdf5,demo_224,0.06193,0.00000,0.0000
0.24258,0.10369,0,gen_skillgen_sart_failed.hdf5,demo_225,0.09561,0.00000,0.0000
0.24258,0.10369,0,gen_skillgen_sart_failed.hdf5,demo_226,0.09411,0.00000,-0.0000
0.24258,0.10369,0,gen_skillgen_sart_failed.hdf5,demo_227,0.09318,0.00000,-0.0000
0.24258,0.10369,0,gen_skillgen_sart_failed.hdf5,demo_228,0.00887,0.00049,0.9974
0.24258,0.10369,0,gen_skillgen_sart_failed.hdf5,demo_229,0.09275,0.00000,-0.0000
0.19684,0.10442,0,gen_skillgen_sart_failed.hdf5,demo_23,0.03307,0.00000,0.9997
0.24258,0.10369,0,gen_skillgen_sart_failed.hdf5,demo_230,0.06310,0.00000,-0.9776
0.24258,0.10369,0,gen_skillgen_sart_failed.hdf5,demo_231,0.01183,-0.00004,0.9997
0.24258,0.10369,0,gen_skillgen_sart_failed.hdf5,demo_232,0.09453,0.00000,0.0000
0.23080,0.11804,0,gen_skillgen_sart_failed.hdf5,demo_233,0.01616,0.00000,0.8076
0.23080,0.11804,0,gen_skillgen_sart_failed.hdf5,demo_234,0.01063,0.01572,1.0000
0.23080,0.11804,0,gen_skillgen_sart_failed.hdf5,demo_235,0.03368,0.00000,0.9999
0.23080,0.11804,0,gen_skillgen_sart_failed.hdf5,demo_236,0.07617,0.00000,-0.9208
0.23080,0.11804,0,gen_skillgen_sart_failed.hdf5,demo_237,0.01063,0.01562,1.0000
0.23080,0.11804,0,gen_skillgen_sart_failed.hdf5,demo_238,0.05245,0.00000,-0.9999
0.23080,0.11804,0,gen_skillgen_sart_failed.hdf5,demo_239,0.01244,-0.00004,1.0000
0.19684,0.10442,0,gen_skillgen_sart_failed.hdf5,demo_24,0.00233,0.00379,0.9992
0.23080,0.11804,0,gen_skillgen_sart_failed.hdf5,demo_240,0.07460,0.00000,-0.9961
0.23080,0.11804,0,gen_skillgen_sart_failed.hdf5,demo_241,0.01068,0.01554,1.0000
0.23080,0.11804,0,gen_skillgen_sart_failed.hdf5,demo_242,0.09249,0.00000,-0.0000
0.15902,-0.09446,0,gen_skillgen_sart_failed.hdf5,demo_243,0.06087,0.00000,0.9983
0.15902,-0.09446,0,gen_skillgen_sart_failed.hdf5,demo_244,0.01515,0.00656,0.8760
0.15902,-0.09446,0,gen_skillgen_sart_failed.hdf5,demo_245,0.06585,0.00000,-0.9774
0.15902,-0.09446,0,gen_skillgen_sart_failed.hdf5,demo_246,0.07086,0.00000,-0.9958
