peg_x,peg_y,success,file,demo,radial,depth,upright
0.11530,0.02436,0,gen_skillgen_failed.hdf5,demo_183,0.06553,0.00000,1.0000
0.16211,-0.10381,0,gen_skillgen_failed.hdf5,demo_184,0.01056,0.01593,0.6725
0.14232,0.04374,0,gen_skillgen_failed.hdf5,demo_185,0.08991,0.00000,0.4598
0.19956,-0.07535,0,gen_skillgen_failed.hdf5,demo_186,0.19534,0.00000,-0.0000
0.19651,-0.09075,0,gen_skillgen_failed.hdf5,demo_187,0.21804,0.00000,0.9965
0.20160,-0.05266,0,gen_skillgen_failed.hdf5,demo_188,0.00738,0.00825,0.9864
0.10151,-0.08981,0,gen_skillgen_failed.hdf5,demo_189,0.06826,0.00000,-0.6442
0.08415,-0.04314,0,gen_skillgen_failed.hdf5,demo_19,0.14573,0.00000,0.9870
0.17078,-0.06366,0,gen_skillgen_failed.hdf5,demo_190,0.01500,0.00655,0.7263
0.14032,-0.10067,0,gen_skillgen_failed.hdf5,demo_191,0.20878,0.00000,0.9998
0.22484,-0.07091,0,gen_skillgen_failed.hdf5,demo_192,0.09028,0.00000,-0.0000
0.21345,-0.04462,0,gen_skillgen_failed.hdf5,demo_193,0.18816,0.00000,0.9988
0.09795,-0.00866,0,gen_skillgen_failed.hdf5,demo_194,0.11318,0.00000,0.9998
0.15591,0.02033,0,gen_skillgen_failed.hdf5,demo_195,0.07072,0.00000,-1.0000
0.16554,0.04785,0,gen_skillgen_failed.hdf5,demo_196,0.06508,0.00000,0.9985
0.21980,-0.06171,0,gen_skillgen_failed.hdf5,demo_197,0.07372,0.00000,0.9999
0.11488,-0.08365,0,gen_skillgen_failed.hdf5,demo_198,0.00883,0.00424,0.9043
0.24485,0.02184,0,gen_skillgen_failed.hdf5,demo_199,0.17373,0.00000,0.9995
0.25886,0.08191,0,gen_skillgen_failed.hdf5,demo_2,0.01071,0.01593,0.6540
0.21481,0.10870,0,gen_skillgen_failed.hdf5,demo_20,0.12289,0.00000,0.9999
0.18923,0.07543,0,gen_skillgen_failed.hdf5,demo_200,0.10346,0.00000,0.9997
0.10817,-0.08651,0,gen_skillgen_failed.hdf5,demo_201,0.01060,0.01301,0.8166
0.22704,-0.09533,0,gen_skillgen_failed.hdf5,demo_202,0.01286,0.01228,0.6379
0.23905,-0.01319,0,gen_skillgen_failed.hdf5,demo_203,0.05452,0.00000,-0.9988
0.22036,0.06652,0,gen_skillgen_failed.hdf5,demo_204,0.09457,0.00000,-0.0000
0.24514,-0.01790,0,gen_skillgen_failed.hdf5,demo_205,0.00816,0.00031,0.9917
0.16168,-0.05752,0,gen_skillgen_failed.hdf5,demo_206,0.01220,0.00466,0.9570
0.24148,-0.08101,0,gen_skillgen_failed.hdf5,demo_207,0.02147,0.00000,0.9970
0.10175,-0.02393,0,gen_skillgen_failed.hdf5,demo_208,0.13384,0.00000,0.9996
0.20946,0.05912,0,gen_skillgen_failed.hdf5,demo_209,0.12531,0.00000,0.9986
0.14386,-0.00351,0,gen_skillgen_failed.hdf5,demo_21,0.15358,0.00000,0.9916
0.18138,0.06516,0,gen_skillgen_failed.hdf5,demo_210,0.01417,0.00611,0.9107
0.10009,-0.10835,0,gen_skillgen_failed.hdf5,demo_211,0.06889,0.00000,-0.9963
0.21515,-0.00243,0,gen_skillgen_failed.hdf5,demo_212,0.01051,0.01634,0.6150
0.11242,-0.10618,0,gen_skillgen_failed.hdf5,demo_213,0.01047,0.01622,0.6389
0.09568,-0.06816,0,gen_skillgen_failed.hdf5,demo_214,0.06415,0.00000,-0.0439
0.09408,-0.03916,0,gen_skillgen_failed.hdf5,demo_215,0.05313,0.00000,0.9997
0.09272,-0.02455,0,gen_skillgen_failed.hdf5,demo_216,0.01144,0.01457,0.7197
0.16571,-0.08364,0,gen_skillgen_failed.hdf5,demo_217,0.01049,0.01627,0.6306
0.24914,-0.11944,0,gen_skillgen_failed.hdf5,demo_218,0.10045,0.00000,0.0000
0.08736,-0.02997,0,gen_skillgen_failed.hdf5,demo_219,0.10417,0.00000,-0.0000
0.20406,-0.09925,0,gen_skillgen_failed.hdf5,demo_22,0.27650,0.00000,1.0000
0.10997,-0.08375,0,gen_skillgen_failed.hdf5,demo_220,0.18336,0.00000,0.9989
0.19778,-0.06042,0,gen_skillgen_failed.hdf5,demo_221,0.06698,0.00000,-0.9131
0.22841,0.02648,0,gen_skillgen_failed.hdf5,demo_222,0.06490,0.00000,-0.0428
0.10713,-0.02762,0,gen_skillgen_failed.hdf5,demo_223,0.17920,0.00000,0.9910
0.12053,-0.00450,0,gen_skillgen_failed.hdf5,demo_224,0.00733,0.00905,0.9758
0.08264,0.01895,0,gen_skillgen_failed.hdf5,demo_225,0.09219,0.00000,0.9993
0.22678,0.00392,0,gen_skillgen_failed.hdf5,demo_226,0.17858,0.00000,-0.8030
0.10168,0.00737,0,gen_skillgen_failed.hdf5,demo_227,0.00545,0.00075,0.9755
0.16635,-0.04162,0,gen_skillgen_failed.hdf5,demo_228,0.16724,0.00000,1.0000
0.15418,0.00032,0,gen_skillgen_failed.hdf5,demo_229,0.12457,0.00000,0.9999
0.22783,-0.08813,0,gen_skillgen_failed.hdf5,demo_23,0.09649,0.00000,-0.0000
0.09667,-0.00168,0,gen_skillgen_failed.hdf5,demo_230,0.01125,0.01630,0.4068
0.17875,0.11757,0,gen_skillgen_failed.hdf5,demo_231,0.09007,0.00000,0.9861
0.18322,-0.02338,0,gen_skillgen_failed.hdf5,demo_232,0.00889,0.00741,0.9918
0.25865,0.04688,0,gen_skillgen_failed.hdf5,demo_233,0.10485,0.00000,-0.0000
0.11752,-0.09862,0,gen_skillgen_failed.hdf5,demo_234,0.09443,0.00000,-0.0000
0.17134,-0.01657,0,gen_skillgen_failed.hdf5,demo_235,0.09530,0.00000,-0.0000
0.18206,-0.08577,0,gen_skillgen_failed.hdf5,demo_236,0.21319,0.00000,0.9998
0.21210,0.07178,0,gen_skillgen_failed.hdf5,demo_237,0.01045,0.01641,1.0000
0.19356,0.04697,0,gen_skillgen_failed.hdf5,demo_238,0.11478,0.00000,0.9998
